agent_user_id,date,payment_type,total_amount
13,2024-09-06,CASH,120.0
13,2024-09-07,CASH,480.0
13,2024-09-08,CASH,300.0
13,2024-09-09,CASH,60.0
17,2024-09-06,CLIENT_REFERRAL,480.0
17,2024-09-08,CASH,1260.0
17,2024-09-08,CARD,120.0
17,2024-09-09,CASH,120.0
18,2024-09-06,CLIENT_REFERRAL,480.0
18,2024-09-07,CLIENT_REFERRAL,240.0
18,2024-09-07,BANK_DEPOSIT,240.0
18,2024-09-07,CARD,120.0
18,2024-09-08,CASH,360.0
18,2024-09-09,CASH,360.0
18,2024-09-10,DEBIT_ORDER,60.0
18,2024-09-10,CASH,360.0
19,2024-09-06,CLIENT_REFERRAL,60.0
19,2024-09-07,CASH,120.0
31,2024-09-06,BANK_DEPOSIT,120.0
31,2024-09-06,CLIENT_REFERRAL,660.0
31,2024-09-06,CASH,60.0
31,2024-09-07,CASH,120.0
31,2024-09-07,BANK_DEPOSIT,60.0
31,2024-09-08,CASH,720.0
31,2024-09-08,BANK_DEPOSIT,240.0
31,2024-09-10,CASH,180.0
34,2024-09-06,CLIENT_REFERRAL,180.0
34,2024-09-07,CASH,840.0
34,2024-09-07,CLIENT_REFERRAL,240.0
34,2024-09-07,BANK_DEPOSIT,240.0
38,2024-09-06,CASH,210.0
38,2024-09-06,CLIENT_REFERRAL,60.0
47,2024-09-06,CASH,150.0
47,2024-09-06,CLIENT_REFERRAL,240.0
47,2024-09-07,CASH,150.0
47,2024-09-08,CLIENT_REFERRAL,150.0
47,2024-09-09,CASH,120.0
64,2024-09-07,CASH,60.0
66,2024-09-07,BANK_DEPOSIT,60.0
69,2024-09-07,BANK_DEPOSIT,60.0
78,2024-09-08,CASH,60.0
